Name,Project Title,Amount($),Fiscal Year,Program
"Hung, Patrick",Child Privacy Protection Engine for Smart Anthropomorphic Toys,22000,2022-2023,Discovery Grants Program - Individual
"Hunsberger, Eric",Proposal for a vision-based depth-from-motion system,21000,2014-2015,Postgraduate Scholarships - Doctoral
"Hunter, Aaron",Knowledge Representation and Information Security,28000,2022-2023,Discovery Grants Program - Individual
"Hurtut, Thomas",Generative models for 3D textures,29000,2022-2023,Discovery Grants Program - Individual
"Hwang, Steven",Strongly Linearizable Shared Memory Data Structures,6000,2021-2022,University Undergraduate Student Research Awards
"Iacobelli, Tommaso",Quantification and Integration of Protein Isoforms in RNA-Seq Data,4500,2017-2018,University Undergraduate Student Research Awards
"Iacobelli, Tommaso",Implementation of Algorithms for Finding Protein Isoforms in Transcriptomics Data,4500,2016-2017,University Undergraduate Student Research Awards
"Iacobelli, Tommaso",Quantification of Cancer Biomarkers in RNA-Seq Data,4500,2018-2019,University Undergraduate Student Research Awards
"Ibnkahla, Mohamed",User-centric and context-aware resource management in wireless sensor networks for the Internet of Things,24000,2018-2019,Discovery Grants Program - Individual
"Ibnkahla, Mohamed",Data analytics for my diabetes coach,25000,2017-2018,Engage Grants Program
"Ibnkahla, Mohamed",User-centric and context-aware resource management in wireless sensor networks for the Internet of Things,24000,2020-2021,Discovery Grants Program - Individual
"Ibnkahla, Mohamed",User-centric and context-aware resource management in wireless sensor networks for the Internet of Things,24000,2019-2020,Discovery Grants Program - Individual
"Ibnkahla, Mohamed",Enabling cognition in wireless sensor networks,169050,2011-2012,Strategic Projects - Group
"Ibnkahla, Mohamed",Adaptive signal processing for wireless sensor networks,23000,2010-2011,Discovery Grants Program - Individual
"Ibnkahla, Mohamed",Enabling cognition in wireless sensor networks,166550,2010-2011,Strategic Projects - Group
"Ibnkahla, Mohamed",Enabling cognition in wireless sensor networks,169050,2012-2013,Strategic Projects - Group
"Ibnkahla, Mohamed",User-centric and context-aware resource management in wireless sensor networks for the Internet of Things,24000,2022-2023,Discovery Grants Program - Individual
"Ilie, Lucian",Bioinformatics Algorithms for Protein Interactions and Applications,29000,2021-2022,Discovery Grants Program - Individual
"Ilie, Lucian",Bioinformatics Algorithms for Protein Interactions and Applications,29000,2022-2023,Discovery Grants Program - Individual
"Ilie, Lucian",Combinatorial algorithms for approximate string searching and DNA sequencing,25000,2012-2013,Discovery Grants Program - Individual
"Ilie, Lucian",Bioinformatics Tools for Advancing Genomics and Proteomics,69333,2012-2013,"Research Tools and Instruments - Category 1 (<$150,000)"
"Ilie, Lucian",Combinatorial algorithms for approximate string searching and DNA sequencing,25000,2010-2011,Discovery Grants Program - Individual
"Ilie, Lucian",Combinatorial algorithms for approximate string searching and DNA sequencing,25000,2011-2012,Discovery Grants Program - Individual
"Ilie, Lucian",Combinatorial algorithms for approximate string searching and DNA sequencing,25000,2014-2015,Discovery Grants Program - Individual
"Ilie, Lucian",Combinatorial algorithms for approximate string searching and DNA sequencing,25000,2013-2014,Discovery Grants Program - Individual
"Ilyas, Ihab",Cleaning and Analysis of Large Uncertain and Inconsistent Data Sources,40000,2015-2016,Discovery Grants Program - Accelerator Supplements
"Ilyas, Ihab",Cleaning and Analysis of Large Uncertain and Inconsistent Data Sources,40000,2014-2015,Discovery Grants Program - Accelerator Supplements
"Ilyas, Ihab",Cleaning and Analysis of Large Uncertain and Inconsistent Data Sources,40000,2016-2017,Discovery Grants Program - Accelerator Supplements
"Ilyas, Ihab","Scalable Cleaning, Integration and Analysis of Structured and Semi-Structured Inconsistent Data",41000,2022-2023,Discovery Grants Program - Individual
"Imough, Melanie",MatLab GUI for Manual Segmentation of Gated MRI Datasets,4500,2013-2014,University Undergraduate Student Research Awards
"Inal, Kaan",An artificial intelligence based approach to account for the effects of microstructure gradients and residual stresses on fatigue performance of additively manufactured aluminum,30000,2021-2022,Alliance Grants
"Inglis, Tiffany",Multi-resolution Abstraction and Rasterization,27941,2014-2015,Postdoctoral Fellowships
"Inkpen, Diana",Experimental Platform for Big Data and Text Mining,59146,2013-2014,"Research Tools and Instruments - Category 1 (<$150,000)"
"Inkpen, Diana",Automatic Risk Mining from Textual Search-and-Rescue Operator Reports,25000,2012-2013,Engage Grants Program
"Inkpen, Diana",Social media text mining for detecting behavioral and psychological conditions in children,142856,2017-2018,Collaborative Research and Development Grants
"Inkpen, Diana",Multi-modal and multi-lingual child safety application,80000,2019-2020,Collaborative Research and Development Grants
"Inkpen, Diana",Multi-modal and multi-lingual child safety application,80000,2020-2021,Collaborative Research and Development Grants
"Inkpen, Diana",Learning from Social Media Texts,68000,2022-2023,Discovery Grants Program - Individual
"Ioannou, Yani",Training Unstructured Sparse Neural Networks,25000,2022-2023,Discovery Grants Program - Individual
"Ionescu, Dan",Applications of computers in industrial environments,23000,2010-2011,Discovery Grants Program - Individual
"Iqbal, SyedMubashir",Developing ILP-Based Schedulers for Virtual Data Center Allocation,4500,2019-2020,University Undergraduate Student Research Awards
"Irani, Pourang",Ubiquitous Analytics,100000,2017-2018,Canada Research Chairs
"Irani, Pourang",Ubiquitous Analytics,100000,2018-2019,Canada Research Chairs
"Irani, Pourang",Transforming Ultra-Portable Devices into Information-Rich Appliances,30000,2017-2018,Discovery Grants Program - Individual
"Irani, Pourang",Transforming Ultra-Portable Devices into Information-Rich Appliances,30000,2016-2017,Discovery Grants Program - Individual
"Irani, Pourang",Investigating Trust and Adoption of Contact Tracing for Mitigating the Spread of COVID-19,48504,2020-2021,Alliance Grants
"Irani, Pourang",In-Situ User Interfaces,89000,2020-2021,Discovery Grants Program - Individual
"Irani, Pourang",CREATE in Visual and Automated Disease Analytics (VADA),300000,2021-2022,Collaborative Research and Training Experience
"Irani, Pourang",In-Situ User Interfaces,89000,2019-2020,Discovery Grants Program - Individual
"Irani, Pourang",Ubiquitous Analytics,100000,2019-2020,Canada Research Chairs
"Irani, Pourang",CREATE in Visual and Automated Disease Analytics (VADA),300000,2019-2020,Collaborative Research and Training Experience
"Irani, Pourang",Seamless interaction,126057,2020-2021,Strategic Projects - Group
"Irani, Pourang",CREATE in Visual and Automated Disease Analytics (VADA),300000,2020-2021,Collaborative Research and Training Experience
"Irani, Pourang",Ubiquitous Analytics,100000,2020-2021,Canada Research Chairs
"Irani, Pourang",Interactive and Visual Analysis Tools for Activity Monitoring Data,135150,2012-2013,Strategic Projects - Group
"Irani, Pourang",Interactive and Visual Analysis Tools for Activity Monitoring Data,138450,2011-2012,Strategic Projects - Group
"Irani, Pourang",Transforming Ultra-Portable Devices into Information-Rich Appliances,30000,2013-2014,Discovery Grants Program - Individual
"Irani, Pourang",Interactive and Visual Analysis Tools for Activity Monitoring Data,135150,2013-2014,Strategic Projects - Group
"Irani, Pourang",Transforming Ultra-Portable Devices into Information-Rich Appliances,30000,2014-2015,Discovery Grants Program - Individual
"Irani, Pourang","Unique Impression Recognition in a Non-Obtrusive, Non-Invasive and Privacy-Preserving Manner",25000,2014-2015,Engage Grants Program
"Irani, Pourang",Developing a Virtual-Reality Assessment Engine for Training in Tower Crane Operation,25000,2014-2015,Engage Grants Program
"Irani, Pourang",Transforming Ultra-Portable Devices into Information-Rich Appliances,30000,2015-2016,Discovery Grants Program - Individual
"Irani, Pourang",Ubiquitous Analytics,100000,2021-2022,Canada Research Chairs
"Irani, Pourang",In-Situ User Interfaces,89000,2021-2022,Discovery Grants Program - Individual
"Irani, Pourang",In-Situ User Interfaces,89000,2022-2023,Discovery Grants Program - Individual
"Irani, Pourang",In-Situ User Interfaces,178000,2023-2024,Discovery Grants Program - Individual
"Irani, PourangPolad",Transforming Ultra-Portable Devices into Information-Rich Appliances,30000,2018-2019,Discovery Grants Program - Individual
"Irani, PourangPP",CREATE in Visual and Automated Disease Analytics (VADA),300000,2022-2023,Collaborative Research and Training Experience
"Istead, Lesley","Using computer science to understand human perception, measure performance and redesign the video production pipeline.",23000,2022-2023,Discovery Grants Program - Individual
"Ittyipe, Ryan",Ambient sensory data processing for assisted living,4500,2020-2021,University Undergraduate Student Research Awards
"Jaafar, Fehmi",Securing the sustainability of the Internet of Things,23000,2020-2021,Discovery Grants Program - Individual
"Jaafar, Fehmi",Securing the sustainability of the Internet of Things,23000,2019-2020,Discovery Grants Program - Individual
"Jaafar, Fehmi",Securing the sustainability of the Internet of Things,18542,2021-2022,Discovery Grants Program - Individual
"Jaafar, Fehmi",Securing the sustainability of the Internet of Things,4458,2021-2022,Discovery Grants Program - Individual
"Jaafar, Fehmi",Securing the sustainability of the Internet of Things,23000,2022-2023,Discovery Grants Program - Individual
"Jabbari, Hosna",Design and development of efficient algorithms for RNA interaction structure prediction,24000,2022-2023,Discovery Grants Program - Individual
"JabbarzadehGangeh, Mehrdad",A Kernel-Based Metric in a Multiview Cell Death Detection System,45000,2014-2015,Postdoctoral Fellowships
"Jacob, Christian",Immersive Modeling and Analytics of Multi-scale Biological Systems,28000,2019-2020,Discovery Grants Program - Individual
"Jacob, Christian",Immersive Modeling and Analytics of Multi-scale Biological Systems,28000,2020-2021,Discovery Grants Program - Individual
"Jacob, Christian",Immersive Modeling and Analytics of Multi-scale Biological Systems,28000,2022-2023,Discovery Grants Program - Individual
"Jacob, Christian",Immersive Modeling and Analytics of Multi-scale Biological Systems,28000,2021-2022,Discovery Grants Program - Individual
"Jacob, Christian",Immersive Modeling and Analytics of Multi-scale Biological Systems,56000,2023-2024,Discovery Grants Program - Individual
"Jacobsen, Andrew",Parameter-free Algorithms for Reinforcement Learning,35000,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Jacobsen, AndrewAJB",Parameter-free Algorithms for Reinforcement Learning,35000,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Jacobsen, HansArno",Learning Clouds,48000,2022-2023,Discovery Grants Program - Individual
"Jacobsen, HansArno","Enabling a highly-scalable, cloud-based microservices architecture",149272,2020-2021,Collaborative Research and Development Grants
"Jacobsen, HansArno","Enabling a highly-scalable, cloud-based microservices architecture",74636,2019-2020,Collaborative Research and Development Grants
"Jacobsen, HansArno","Enabling a highly-scalable, cloud-based microservices architecture",74636,2018-2019,Collaborative Research and Development Grants
"Jacobsen, HansArno",The foundation for event management systems,30000,2012-2013,Discovery Grants Program - Individual
"Jacobsen, HansArno",The foundation for event management systems,30000,2010-2011,Discovery Grants Program - Individual
"Jacobsen, HansArno",The foundation for event management systems,40000,2010-2011,Discovery Grants Program - Accelerator Supplements
"Jacobsen, HansArno",The foundation for event management systems,30000,2011-2012,Discovery Grants Program - Individual
"Jacobson, Alec",Robust Geometry Processing for Big Dirty Data,40000,2018-2019,Discovery Grants Program - Accelerator Supplements
"Jacobson, Alec",Geometry Processing,120000,2018-2019,Canada Research Chairs
"Jacobson, Alec",Geometry Processing,100000,2017-2018,Canada Research Chairs
"Jacobson, Alec",Robust Geometry Processing for Big Dirty Data,40000,2017-2018,Discovery Grants Program - Accelerator Supplements
"Jacobson, Alec",Geometry Processing,120000,2019-2020,Canada Research Chairs
"Jacobson, Alec",Geometry Processing,120000,2020-2021,Canada Research Chairs
"Jacobson, Alec",Robust Geometry Processing for Big Dirty Data,40000,2019-2020,Discovery Grants Program - Accelerator Supplements
"Jacobson, Alec",Digital 3D Expression for 8 Billion People,74000,2022-2023,Discovery Grants Program - Individual
"Jacobson, Alec",Geometry Processing,120000,2021-2022,Canada Research Chairs
"Jacobson, Jr, Michael",Algorithms in Number Theory and Cryptography,29000,2022-2023,Discovery Grants Program - Individual
"Jacoby, JamesDerek",Software visualization of genomic mutations and methylations in cancer tumours,35000,2011-2012,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Jacoby, JamesDerek",Software visualization of genomic mutations and methylations in cancer tumours,35000,2012-2013,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Jacoby, JamesDerek",Software visualization of genomic mutations and methylations in cancer tumours,35000,2013-2014,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Jagersand, Martin","Learning robot object manipulation from human demonstrations using image, force, and contact geometry",52000,2023-2024,Discovery Grants Program - Individual
"JahnsGigglberger, RicardoAlberto",Hybrid proactive machine learning algorithms for Intrusion Detection Systems,17500,2013-2014,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Jaimungal, Sebastian S",Deep Learning in Financial Modeling,30000,2023-2024,Alliance Grants
"Jammal, Manar",Intelligent Management Platform - The Future of Cloud and Networking,24000,2023-2024,Discovery Grants Program - Individual
"Jammal, Manar",Intelligent Management Platform - The Future of Cloud and Networking,24000,2022-2023,Discovery Grants Program - Individual
"Jammal, Manar",Intelligent Management Platform - The Future of Cloud and Networking,24000,2021-2022,Discovery Grants Program - Individual
"Janicki, Ryszard",Concurrency and Approximate Reasoning,24000,2022-2023,Discovery Grants Program - Individual
"Jans, Christian",Machine Learning for the game of Clobber,4500,2020-2021,University Undergraduate Student Research Awards
"Jao, David",Isogeny-based cryptography,48000,2022-2023,Discovery Grants Program - Individual
"Jaques, Natasha","Predicting Affect for an Intuitive, Human-like Intelligent Tutor Interface",10500,2014-2015,Postgraduate Scholarships - Doctoral
"Jaques, Natasha",Applying Machine Learning Techniques to Gesture Recognition in a Hover-based Interface,17500,2012-2013,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Jaseemuddin, Muhammad",Enabling future mobile wireless networks edge with adaptive access control and caching,24000,2022-2023,Discovery Grants Program - Individual
"Jaseemuddin, Muhammad",Enabling future mobile wireless networks edge with adaptive access control and caching,24000,2021-2022,Discovery Grants Program - Individual
"Jaskolka, Jason",Comprehensive Security Assurance Solutions for Software-Dependent Systems,23000,2021-2022,Discovery Grants Program - Individual
"Jaskolka, Jason",Comprehensive Security Assurance Solutions for Software-Dependent Systems,23000,2022-2023,Discovery Grants Program - Individual
"Jaskolka, Jason",Comprehensive Security Assurance Solutions for Software-Dependent Systems,23000,2020-2021,Discovery Grants Program - Individual
"Jaskolka, Jason",Comprehensive Security Assurance Solutions for Software-Dependent Systems,23000,2019-2020,Discovery Grants Program - Individual
"Jaskolka, Jason",Comprehensive Security Assurance Solutions for Software-Dependent Systems,12500,2019-2020,Discovery Launch Supplement
"Jaura, Seeratpal",Sentiment Analysis of Microblog data with Tolerance Rough Sets,4500,2020-2021,University Undergraduate Student Research Awards
"Jaura, Seeratpal",Named Entity Recognition on CORD-19 dataset with Tolerance-based Learning (TPL),6000,2021-2022,University Undergraduate Student Research Awards
"JavanRoshtkhari, Mehrsan",Human Behavior Understanding in Videos,22500,2014-2015,Postdoctoral Fellowships
"Jean, Sébastien",Large Context Neural Machine Translation,21000,2018-2019,Postgraduate Scholarships - Doctoral
"Jean, Sébastien",Large Context Neural Machine Translation,21000,2017-2018,Postgraduate Scholarships - Doctoral
"Jedwab, Jonathan",Combinatorial design theory and digital communications,48000,2022-2023,Discovery Grants Program - Individual
"Jeffrey, Ian",A novel scalable distributed architecture for a multiplayer mobile online game,25000,2014-2015,Engage Grants Program
"Jeffrey, Mark",Performance for All: Broadening the Scope of Parallelism and Specialization,29000,2022-2023,Discovery Grants Program - Individual
"Jenkin, Michael",Interactive autonomous machines,24000,2022-2023,Discovery Grants Program - Individual
"Jia, ShengSJ",Leveraging the unlabeled data for exploration and efficient learning algorithms,21000,2022-2023,Postgraduate Scholarships - Doctoral
"Jiang, Hui",Exploring New Neural Computing Models for Natural Language Understanding,64000,2022-2023,Discovery Grants Program - Individual
"Jiang, Hui",Investigate deep learning methods for large-scale financial event modelling,25000,2014-2015,Engage Grants Program
"Jiang, Hui",Exploring New Neural Computing Models for Natural Language Understanding,80000,2019-2020,Discovery Grants Program - Accelerator Supplements
"Jiang, Xianta",Equipment System for Developing Natural Control Interface of Next Generation Affordable Prosthetic Hands,88983,2021-2022,Research Tools and Instruments
"Jiang, ZhenMing",Leveraging System Behaviour Data to Improve the Process of Load Testing Large Scale Software Systems,23000,2017-2018,Discovery Grants Program - Individual
"Jiang, ZhenMing",Verifying the scalability and reliability of microservices for a large-scale e-commerce platform,25000,2016-2017,Engage Grants Program
"Jiang, ZhenMing",Leveraging System Behaviour Data to Improve the Process of Load Testing Large Scale Software Systems,23000,2016-2017,Discovery Grants Program - Individual
"Jiang, ZhenMing",Leveraging System Behaviour Data to Improve the Process of Load Testing Large Scale Software Systems,23000,2018-2019,Discovery Grants Program - Individual
"Jiang, ZhenMing",Assessing and Detecting Components Suffering from Sub-optimal Performance for a Web-based CRM System,25000,2018-2019,Engage Grants Program
"Jiang, ZhenMing",Leveraging System Behaviour Data to Improve the Process of Load Testing Large Scale Software Systems,23000,2014-2015,Discovery Grants Program - Individual
"Jiang, ZhenMing",Leveraging System Behaviour Data to Improve the Process of Load Testing Large Scale Software Systems,23000,2015-2016,Discovery Grants Program - Individual
"Jiang, ZhenMing(Jack)",Leveraging System Behaviour Data to Improve the Process of Load Testing Large Scale Software Systems,23000,2019-2020,Discovery Grants Program - Individual
"Jiang, ZhenMing(Jack)",Improving the Software Logging Practices to Support the Decision-Making Process of DevOps Engineers,40000,2020-2021,Discovery Grants Program - Accelerator Supplements
"Jiang, ZhenMing(Jack)",Improving the Software Logging Practices to Support the Decision-Making Process of DevOps Engineers,35000,2020-2021,Discovery Grants Program - Individual
"Jiang, ZhenMing(Jack)",Improving the Software Logging Practices to Support the Decision-Making Process of DevOps Engineers,35000,2021-2022,Discovery Grants Program - Individual
"Jiang, ZhenMing(Jack)",Improving the Software Logging Practices to Support the Decision-Making Process of DevOps Engineers,40000,2021-2022,Discovery Grants Program - Accelerator Supplements
"Jiang, ZhenMing(Jack)",Improving the Software Logging Practices to Support the Decision-Making Process of DevOps Engineers,35000,2022-2023,Discovery Grants Program - Individual
"Jiang, ZhenMing(Jack)",Improving the Software Logging Practices to Support the Decision-Making Process of DevOps Engineers,40000,2022-2023,Discovery Grants Program - Accelerator Supplements
"Jodoin, PierreMarc",Model design for analyzing ultra-low framerate surveillance videos,41000,2022-2023,Discovery Grants Program - Individual
"Jodoin, PierreMarc",Development of deep segmentation methods applied to satellite imagery,25000,2017-2018,Engage Grants Program
"Johnson, Alistair",Artificial Intelligence for patient severity scoring and outcome prediction in the Intensive Care Unit,21000,2013-2014,Postgraduate Scholarships - Doctoral
"Johnson, Alistair",Artificial Intelligence for patient severity scoring and outcome prediction in the Intensive Care Unit,21000,2012-2013,Postgraduate Scholarships - Doctoral
"Johnson, Alistair",Artificial Intelligence for patient severity scoring and outcome prediction in the Intensive Care Unit,21000,2011-2012,Postgraduate Scholarships - Doctoral
"JolicoeurMartineau, Alexia","Understanding, improving, and extending Generative Adversarial Networks (GANs)",35000,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"JolicoeurMartineau, Alexia","Understanding, improving, and extending Generative Adversarial Networks (GANs)",35000,2020-2021,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"JolicoeurMartineau, AlexiaA","Understanding, improving, and extending Generative Adversarial Networks (GANs)",35000,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Jones, Brennan",Designing Technologies for Remote Communication and Collaboration in Search and Rescue,21000,2019-2020,Postgraduate Scholarships - Doctoral
"Jones, Brennan",Designing Technologies for Remote Communication and Collaboration in Search and Rescue,21000,2020-2021,Postgraduate Scholarships - Doctoral
"Jones, Brennan",Designing Technologies for Remote Communication and Collaboration in Search and Rescue,21000,2018-2019,Postgraduate Scholarships - Doctoral
"Jones, Duff",Analyzing smart power grid data for fault management,4500,2017-2018,University Undergraduate Student Research Awards
"Joseph, Kevin",Deep Learning Approaches to Extract Information from Web data,4500,2017-2018,University Undergraduate Student Research Awards
"Joseph, Kevin",Deep Learning Approaches to Extract Information from Web data,4500,2018-2019,University Undergraduate Student Research Awards
"Joseph, Kevin",Computer Vision NSERC Research Grant,17500,2019-2020,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Joseph, Kevin",Deep Learning Approaches to Extract Information from Web data,4500,2019-2020,University Undergraduate Student Research Awards
"Joshi, Nikhita",Toward Smarter Everyday Objects that Better Support Real User Behaviour,35000,2020-2021,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Joshi, Nikhita",Toward Smarter Everyday Objects that Better Support Real User Behaviour,35000,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Joshi, NikhitaNVJ",Toward Smarter Everyday Objects that Better Support Real User Behaviour,17500,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Jourdan, GuyVincent",Creating and Using Models for Mobile and Rich Internet Applications,36000,2021-2022,Discovery Grants Program - Individual
"Jourdan, GuyVincent",Creating and Using Models for Mobile and Rich Internet Applications,18000,2020-2021,Discovery Grants Program - Individual
"Jourdan, GuyVincent",Creating and Using Models for Mobile and Rich Internet Applications,18000,2019-2020,Discovery Grants Program - Individual
"Jourdan, GuyVincent",Creating and Using Models for Mobile and Rich Internet Applications,18000,2018-2019,Discovery Grants Program - Individual
"Jourdan, GuyVincent",Creating and Using Models for Mobile and Rich Internet Applications,18000,2017-2018,Discovery Grants Program - Individual
"Jourdan, GuyVincent",Applied formal testing,20000,2012-2013,Discovery Grants Program - Individual
"Jourdan, GuyVincent",Modeling Rich Internet applications for security,55000,2011-2012,Collaborative Research and Development Grants
"Jourdan, GuyVincent",Applied formal testing,20000,2011-2012,Discovery Grants Program - Individual
"Jourdan, GuyVincent",Applied formal testing,20000,2010-2011,Discovery Grants Program - Individual
"Jourdan, GuyVincent",Modeling Rich Internet applications for security,55000,2010-2011,Collaborative Research and Development Grants
"Jourdan, GuyVincent",Applied formal testing,20000,2013-2014,Discovery Grants Program - Individual
"Jourdan, GuyVincent",Applied formal testing,20000,2014-2015,Discovery Grants Program - Individual
"Jullion, Zachary",Discovering 'Stops' in Trajectory Datasets,4500,2011-2012,University Undergraduate Student Research Awards
"Juma, Farah",Knowledge representation and reasoning and machine learning,17500,2010-2011,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Jung, Joshua",Predicting Success in Online Collaborative Networks,21000,2018-2019,Postgraduate Scholarships - Doctoral
"Jung, Joshua",Predicting Success in Online Collaborative Networks,21000,2019-2020,Postgraduate Scholarships - Doctoral
"Jurisica, Igor",Developing novel heuristic methods for integrative computational biology,44000,2017-2018,Discovery Grants Program - Individual
"Jurisica, Igor",Scalable intelligent systems for integrative analyses in computational biology,17000,2012-2013,Discovery Grants Program - Individual
"Jurisica, Igor",Developing novel heuristic methods for integrative computational biology,44000,2013-2014,Discovery Grants Program - Individual
"Jurisica, Igor",Developing novel heuristic methods for integrative computational biology,44000,2014-2015,Discovery Grants Program - Individual
"Jurisica, Igor",Developing novel heuristic methods for integrative computational biology,44000,2016-2017,Discovery Grants Program - Individual
"Jurisica, Igor",Developing novel heuristic methods for integrative computational biology,44000,2015-2016,Discovery Grants Program - Individual
"Jurisica, Igor",Novel methods for integrative computational biology,41000,2022-2023,Discovery Grants Program - Individual
"Just, Jennifer",Data-analysis to evaluate engagement with a game educational system,4500,2019-2020,University Undergraduate Student Research Awards
"Jutla, Dawn",Accessibility in identity and privacy protection mechanisms for Web applications,17000,2015-2016,Discovery Grants Program - Individual
"Jutla, Dawn",Accessibility in identity and privacy protection mechanisms for Web applications,17000,2016-2017,Discovery Grants Program - Individual
"Jutla, Dawn",Accessibility in identity and privacy protection mechanisms for Web applications,17000,2014-2015,Discovery Grants Program - Individual
"Jutla, Dawn",Accessibility in identity and privacy protection mechanisms for Web applications,17000,2013-2014,Discovery Grants Program - Individual
"Jutla, Dawn",Accessibility in identity and privacy protection mechanisms for Web applications,17000,2012-2013,Discovery Grants Program - Individual
"Jutla, Dawn",Cloud Architecture and Real-Time Big Data Analytics for Privacy and Security Applications,24668,2011-2012,Engage Grants Program
"Kaban, MadelynMG",Two-Photon-Merging Classification via Machine Learning Algorithms,6000,2022-2023,University Undergraduate Student Research Awards
"Kabanets, Valentine","Lower bounds, meta-algorithms, and pseudorandomness",41000,2022-2023,Discovery Grants Program - Individual
"Kabanza, Froduald",Advanced Algorithms for Plan Recognition,34000,2022-2023,Discovery Grants Program - Individual
"Kabanza, Froduald",Planning and execution of actions for agents in dynamic environments,20000,2012-2013,Discovery Grants Program - Individual
"Kabanza, Froduald",Planning and execution of actions for agents in dynamic environments,20000,2013-2014,Discovery Grants Program - Individual
"Kabanza, Froduald",Planning and execution of actions for agents in dynamic environments,20000,2011-2012,Discovery Grants Program - Individual
"Kabanza, Froduald",Planning and execution of actions for agents in dynamic environments,20000,2014-2015,Discovery Grants Program - Individual
"Kabanza, Froduald",Planning and execution of actions for agents in dynamic environments,20000,2015-2016,Discovery Grants Program - Individual
"Kacsmar, Bailey",Secure and Private Collaborative Deep Learning,35000,2019-2020,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Kacsmar, Bailey",Secure and Private Collaborative Deep Learning,35000,2020-2021,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Kacsmar, Bailey",Secure and Private Collaborative Deep Learning,35000,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Kaczmarek, Emily",Advancing cancer understanding and diagnosis through molecular expression-based deep learning,21000,2021-2022,Postgraduate Scholarships - Doctoral
"Kaczynski, Tomasz",Topology and Combinatorics for Dynamical Systems and Data,18000,2023-2024,Discovery Grants Program - Individual
"Kadoury, Samuel",Prediction of Immunotherapy Response with Geometric Deep Learning in Medical Imaging,48000,2022-2023,Discovery Grants Program - Individual
"Kadoury, Samuel",Detection of liver metastases with deep convolutional neural networks,25000,2014-2015,Engage Grants Program
"Kadoury, Samuel",Versatile training and evaluation frameworks of convolutional neural networks for medical image segmentation,25000,2014-2015,Engage Grants Program
"Kahani, Nafiseh",Machine Learning for Efficient Regression Testing in Continuous Integration Context,12500,2022-2023,Discovery Launch Supplement
"Kahani, Nafiseh",Machine Learning for Efficient Regression Testing in Continuous Integration Context,25000,2022-2023,Discovery Grants Program - Individual
"Kahl, Wolfram","Towards \""Mouldable Code\"" as a Better Approach to Synthesis of Efficient and Correct Software",40000,2021-2022,Discovery Grants Program - Individual
"Kahl, Wolfram","Towards \""Mouldable Code\"" as a Better Approach to Synthesis of Efficient and Correct Software",20000,2020-2021,Discovery Grants Program - Individual
"Kahl, Wolfram","Towards \""Mouldable Code\"" as a Better Approach to Synthesis of Efficient and Correct Software",20000,2019-2020,Discovery Grants Program - Individual
"Kahl, Wolfram","Towards \""Mouldable Code\"" as a Better Approach to Synthesis of Efficient and Correct Software",20000,2018-2019,Discovery Grants Program - Individual
"Kahl, Wolfram",Towards “Mouldable Code” as a Better Approach to Synthesis of Efficient and Correct Software,20000,2017-2018,Discovery Grants Program - Individual
"Kalra, Shivam",Attention-Aware Deep Learning for Information Retrieval from Gigapixel Histopathology Scans,21000,2018-2019,Postgraduate Scholarships - Doctoral
"Kalra, Shivam",Attention-Aware Deep Learning for Information Retrieval from Gigapixel Histopathology Scans,21000,2020-2021,Postgraduate Scholarships - Doctoral
"Kalra, Shivam",Attention-Aware Deep Learning for Information Retrieval from Gigapixel Histopathology Scans,21000,2019-2020,Postgraduate Scholarships - Doctoral
"Kamali, Shahin","Investigating models, applications, and limitations of online algorithms",16529,2022-2023,Discovery Grants Program - Individual
"Kamali, Shahin","Investigating models, applications, and limitations of online algorithms",11470,2022-2023,Discovery Grants Program - Individual
"Kamath, Gautam",Theoretical Foundations of Differentially Private Statistics,40000,2022-2023,Discovery Grants Program - Individual
"KamawarMacLeod, NaiaNB",Understanding Interactive Systems through Computer-Aided Design,6000,2022-2023,University Undergraduate Student Research Awards
"Kambere, ZianaZJ",Interpretable Machine Learning for Multimodal Group Interaction,6000,2022-2023,University Undergraduate Student Research Awards
"Kamel, Mohamed",Discrimination of critical objects and event in pervasive multimodal surveillance systems,15000,2011-2012,Collaborative Research and Development Grants
